stamp,self_id,target_id,com_global_x,com_global_y,com_global_z,gt_x,gt_y,gt_z,com_error_x,com_error_y,com_error_z,com_error_norm,com_stamp_dt
156.900000000,1,2,1.895475998,1.850855311,2.057730132,1.997930380,2.008447709,2.114705821,-0.102454381,-0.157592399,-0.056975689,0.196414087,-0.200000000
156.900000000,1,3,-0.085354465,1.871684639,2.119421601,0.013128398,1.998652612,2.189617224,-0.098482864,-0.126967973,-0.070195623,0.175348698,-0.100000000
157.000000000,1,0,-0.114638956,-0.164658790,2.149062963,-0.005783385,-0.002507447,2.225990623,-0.108855571,-0.162151343,-0.076927660,0.209905831,-0.200000000
157.000000000,1,2,1.930433283,1.847254973,2.129550884,1.998365492,2.010503807,2.163213575,-0.067932208,-0.163248835,-0.033662691,0.179994844,-0.200000000
157.000000000,1,3,-0.123831916,1.822926766,2.200909956,0.014864123,2.000788600,2.236921747,-0.138696039,-0.177861835,-0.036011791,0.228403749,-0.100000000
157.100000000,1,0,-0.080665641,-0.183849434,2.195932614,-0.004153791,-0.000333010,2.294995243,-0.076511849,-0.183516424,-0.099062629,0.222139023,-0.200000000
157.100000000,1,2,1.893655711,1.845104799,2.200927767,1.998937718,2.013486246,2.231612665,-0.105282007,-0.168381448,-0.030684898,0.200943215,-0.200000000
157.100000000,1,3,-0.042566071,1.828838241,2.265808220,0.017293677,2.003783329,2.303349948,-0.059859748,-0.174945089,-0.037541727,0.188675263,-0.100000000
157.200000000,1,0,-0.055203884,-0.171541243,2.255490494,-0.002855046,0.001820853,2.362370806,-0.052348838,-0.173362096,-0.106880312,0.210281284,-0.200000000
157.200000000,1,2,1.961270597,1.809108048,2.250319937,1.999486498,2.016427197,2.298681212,-0.038215902,-0.207319149,-0.048361275,0.216287997,-0.200000000
157.200000000,1,3,-0.034967850,1.851273805,2.328502410,0.019583732,2.006685641,2.368045285,-0.054551582,-0.155411836,-0.039542875,0.169388173,-0.100000000
157.300000000,1,0,-0.062984364,-0.180355148,2.342114774,-0.002173271,0.003234392,2.406728833,-0.060811093,-0.183589539,-0.064614059,0.203907049,-0.200000000
157.300000000,1,2,1.967821291,1.786255186,2.323305185,1.999858995,2.018359969,2.343158880,-0.032037703,-0.232104782,-0.019853695,0.235145091,-0.200000000
157.300000000,1,3,0.003911493,1.844594086,2.383706619,0.020984869,2.008566315,2.410692307,-0.017073376,-0.163972228,-0.026985689,0.167052744,-0.100000000
157.400000000,1,0,-0.073851977,-0.173059940,2.384650183,-0.001489239,0.005177554,2.468453515,-0.072362738,-0.178237494,-0.083803332,0.209828427,-0.200000000
157.400000000,1,2,1.983425766,1.806965191,2.386685860,2.000428009,2.021085904,2.405629005,-0.017002243,-0.214120713,-0.018943145,0.215628382,-0.200000000
157.400000000,1,3,0.038914078,1.808493750,2.437999967,0.022675868,2.011165500,2.470298370,0.016238210,-0.202671750,-0.032298402,0.205870602,-0.100000000
157.500000000,1,0,-0.100994501,-0.164382566,2.445162945,-0.001206921,0.006966980,2.526259509,-0.099787580,-0.171349546,-0.081096564,0.214230905,-0.200000000
157.500000000,1,2,1.969148961,1.853619966,2.445211367,2.001043074,2.023734135,2.465044692,-0.031894113,-0.170114168,-0.019833324,0.174210865,-0.200000000
157.500000000,1,3,0.055648816,1.805503622,2.496896819,0.023792684,2.013662133,2.526332035,0.031856132,-0.208158511,-0.029435216,0.212629280,-0.100000000
157.600000000,1,0,-0.095076448,-0.177845215,2.493630049,-0.001229041,0.008042477,2.562079122,-0.093847407,-0.185887692,-0.068449074,0.219195906,-0.200000000
157.600000000,1,2,1.944451965,1.822769256,2.488348348,2.001458078,2.025433476,2.502489635,-0.057006113,-0.202664220,-0.014141286,0.211003457,-0.200000000
157.600000000,1,3,0.001979636,1.844410656,2.536919595,0.024143544,2.015313419,2.561227683,-0.022163908,-0.170902763,-0.024308088,0.174039870,-0.100000000
157.700000000,1,0,-0.071879806,-0.167093365,2.551130110,-0.001414424,0.009319948,2.608295280,-0.070465381,-0.176413313,-0.057165170,0.198380654,-0.200000000
157.700000000,1,2,1.928162618,1.819877550,2.536866846,2.002002366,2.027663232,2.551444876,-0.073839748,-0.207785682,-0.014578029,0.220997097,-0.200000000
157.700000000,1,3,-0.057074703,1.803535470,2.582239195,0.024039098,2.017652833,2.606530426,-0.081113802,-0.214117363,-0.024291231,0.230251510,-0.100000000
157.800000000,1,0,-0.111763742,-0.191559536,2.601618092,-0.001550472,0.009976222,2.635864577,-0.110213270,-0.201535759,-0.034246485,0.232242220,-0.200000000
157.800000000,1,2,1.933496183,1.782341913,2.577725883,2.002330650,2.028970772,2.580927152,-0.068834467,-0.246628860,-0.003201269,0.256074650,-0.200000000
