stamp,oracle,com_dt_0,com_age_0,com_dt_1,com_age_1,com_dt_3,com_age_3,uwb_dt,uwb_age,camera_dt,camera_age,ins_dt,ins_age,gt_dt,gt_age,mission_stage,uwb_stddev,camera_msg_fresh,camera_raw_count,camera_valid_target,camera_angle_constraints,camera_xy_constraints,camera_used_in_cost,camera_target_mask,P_opt_x,P_opt_y,P_opt_z
22.485207499,0,0.003081665,0.003081665,-0.008540832,0.008540832,0.005459168,0.005459168,-0.015207499,0.015207499,-0.083207499,0.083207499,-0.001207499,0.001207499,0.006792501,0.006792501,1,0.050000000,1,0,0,0,0,0,0,-0.008771460,-0.013738562,1.955535253
22.584424814,0,-0.087535925,0.087535925,-0.108039262,0.108039262,0.195575186,0.195575186,-0.034424814,0.034424814,0.017575186,0.017575186,-0.000424814,0.000424814,-0.014424814,0.014424814,1,0.050000000,1,0,0,0,0,0,0,-0.006466603,0.012820854,2.029995065
22.848666667,0,-0.010666667,0.010666667,-0.024666667,0.024666667,0.035333333,0.035333333,-0.018666667,0.018666667,-0.246666667,0.246666667,-0.002666667,0.002666667,-0.006666667,0.006666667,1,0.050000000,1,0,0,0,0,0,0,-0.014169398,-0.023261816,2.188826546
22.826888889,0,0.037777778,0.037777778,-0.026222222,0.026222222,-0.011555556,0.011555556,0.003111111,0.003111111,-0.024888889,0.024888889,-0.002888889,0.002888889,0.013111111,0.013111111,1,0.050000000,1,0,0,0,0,0,0,-0.010351082,-0.070199095,2.181967381
22.850074074,0,-0.028518518,0.028518518,0.028148148,0.028148148,0.000370371,0.000370371,-0.020074074,0.020074074,-0.048074074,0.048074074,-0.004074074,0.004074074,-0.008074074,0.008074074,1,0.050000000,1,0,0,0,0,0,0,-0.010096769,-0.066601027,2.188826546
23.226444444,0,-0.059111111,0.059111111,0.001555556,0.001555556,0.057555556,0.057555556,0.003555556,0.003555556,-0.324444444,0.324444444,-0.002444444,0.002444444,-0.004444444,0.004444444,1,0.050000000,1,0,0,0,0,0,0,-0.034413831,-0.018710326,2.410212532
23.213185185,0,0.052814815,0.052814815,-0.033407407,0.033407407,-0.019407407,0.019407407,0.016814815,0.016814815,-0.111185185,0.111185185,-0.009185185,0.009185185,0.006814815,0.006814815,1,0.050000000,1,0,0,0,0,0,0,-0.044659302,-0.012940138,2.399107059
23.262864198,0,0.003135802,0.003135802,0.015802469,0.015802469,-0.018938272,0.018938272,-0.032864198,0.032864198,-0.160864198,0.160864198,0.001135802,0.001135802,-0.004864198,0.004864198,1,0.050000000,1,0,0,0,0,0,0,-0.031966115,-0.044407887,2.427892288
23.624888889,0,-0.060222222,0.060222222,0.001111111,0.001111111,0.059111111,0.059111111,-0.034888889,0.034888889,-0.322888889,0.322888889,-0.000888889,0.000888889,-0.008888889,0.008888889,1,0.050000000,1,0,0,0,0,0,0,-0.059674258,-0.026910448,2.606126155
23.628913580,0,0.036419753,0.036419753,-0.050691358,0.050691358,0.014271605,0.014271605,-0.038913580,0.038913580,-0.126913580,0.126913580,-0.004913580,0.004913580,-0.012913580,0.012913580,1,0.050000000,1,0,0,0,0,0,0,-0.044288645,0.004906606,2.606126155
23.645687243,0,-0.030255144,0.030255144,0.032757201,0.032757201,-0.002502058,0.002502058,0.024312757,0.024312757,-0.143687243,0.143687243,-0.001687243,0.001687243,0.006312757,0.006312757,1,0.050000000,1,0,0,0,0,0,0,-0.027629999,0.006236017,2.615827309
