stamp,stage,subphase,uav_id,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_speed_xy,cmd_speed_xy,target_dist_xy,arrived_flag,min_pairwise_distance,target_x,target_y,target_z
25.052000,3,0,0,-0.818873,-0.835416,3.000500,-0.472475,-0.470790,0.000000,0.666990,0.595440,0.831967,0,3.634482,-1.414208,-1.414213,3.000000
25.052000,3,0,1,2.834344,-0.811478,3.003294,0.480206,-0.485238,0.000000,0.682681,0.599774,0.836389,0,3.634482,3.414220,-1.414214,3.000000
25.052000,3,0,2,2.823702,2.826512,2.997013,0.492811,0.500460,0.000000,0.702369,0.598638,0.833129,0,3.634482,3.414220,3.414213,3.000000
25.052000,3,0,3,-0.843289,2.840787,2.999760,-0.494305,0.487453,0.000000,0.694225,0.581483,0.809176,0,3.634482,-1.414208,3.414214,3.000000
25.152000,3,0,0,-0.881929,-0.898058,3.000186,-0.595573,-0.591605,0.000000,0.839466,0.529602,0.741442,0,3.763733,-1.414208,-1.414213,3.000000
25.152000,3,0,1,2.896772,-0.874816,3.003740,0.589606,-0.598272,0.000000,0.839979,0.533903,0.747464,0,3.763733,3.414220,-1.414214,3.000000
25.152000,3,0,2,2.885337,2.888900,2.997470,0.593147,0.600354,0.000000,0.843948,0.532453,0.745434,0,3.763733,3.414220,3.414213,3.000000
25.152000,3,0,3,-0.904761,2.901530,2.999019,-0.591515,0.584517,0.000000,0.831595,0.516256,0.722759,0,3.763733,-1.414208,3.414214,3.000000
25.252000,3,0,0,-0.946642,-0.962178,3.000064,-0.647121,-0.641199,0.000000,0.910989,0.464535,0.650349,0,3.894071,-1.414208,-1.414213,3.000000
25.252000,3,0,1,2.960778,-0.940006,3.004213,0.640067,-0.651903,0.000000,0.913599,0.468651,0.656111,0,3.894071,3.414220,-1.414214,3.000000
25.252000,3,0,2,2.949939,2.954050,2.997874,0.646022,0.651501,0.000000,0.917496,0.466920,0.653687,0,3.894071,3.414220,3.414213,3.000000
25.252000,3,0,3,-0.968799,2.964958,2.998506,-0.640380,0.634280,0.000000,0.901331,0.451878,0.632629,0,3.894071,-1.414208,3.414214,3.000000
25.352000,3,0,0,-0.988555,-1.003627,3.000060,-0.419136,-0.414494,0.000000,0.589475,0.422433,0.591406,0,3.978514,-1.414208,-1.414213,3.000000
25.352000,3,0,1,3.002237,-0.982313,3.004436,0.414589,-0.423065,0.000000,0.592342,0.426344,0.596882,0,3.978514,3.414220,-1.414214,3.000000
25.352000,3,0,2,2.991852,2.996187,2.998077,0.419127,0.421372,0.000000,0.594325,0.424469,0.594257,0,3.978514,3.414220,3.414213,3.000000
25.352000,3,0,3,-1.010146,3.005999,2.998363,-0.413465,0.410410,0.000000,0.582571,0.410267,0.574374,0,3.978514,-1.414208,3.414214,3.000000
25.452000,3,0,0,-1.047228,-1.061514,3.000165,-0.586728,-0.578863,0.000000,0.824216,0.363565,0.508990,0,4.096682,-1.414208,-1.414213,3.000000
25.452000,3,0,1,3.060252,-1.041586,3.004568,0.580147,-0.592735,0.000000,0.829400,0.367107,0.513950,0,4.096682,3.414220,-1.414214,3.000000
25.452000,3,0,2,3.050599,3.055084,2.998375,0.587471,0.588970,0.000000,0.831871,0.365051,0.511072,0,4.096682,3.414220,3.414213,3.000000
25.452000,3,0,3,-1.067765,3.063375,2.998422,-0.576189,0.573765,0.000000,0.813142,0.352187,0.493062,0,4.096682,-1.414208,3.414214,3.000000
25.552000,3,0,0,-1.082899,-1.096634,3.000328,-0.356715,-0.351198,0.000000,0.500586,0.327811,0.458936,0,4.168523,-1.414208,-1.414213,3.000000
25.552000,3,0,1,3.095505,-1.077652,3.004497,0.352528,-0.360660,0.000000,0.504333,0.331087,0.463522,0,4.168523,3.414220,-1.414214,3.000000
25.552000,3,0,2,3.086387,3.090860,2.998594,0.357885,0.357762,0.000000,0.506039,0.328906,0.460469,0,4.168523,3.414220,3.414213,3.000000
25.552000,3,0,3,-1.102618,3.098238,2.998562,-0.348533,0.348624,0.000000,0.492965,0.316976,0.443767,0,4.168523,-1.414208,3.414214,3.000000
25.652000,3,0,0,-1.133977,-1.146855,3.000749,-0.510774,-0.502215,0.000000,0.716318,0.276651,0.387311,0,4.271450,-1.414208,-1.414213,3.000000
25.652000,3,0,1,3.146009,-1.129371,3.004232,0.505039,-0.517184,0.000000,0.722872,0.279461,0.391245,0,4.271450,3.414220,-1.414214,3.000000
25.652000,3,0,2,3.137804,3.142072,2.999092,0.514172,0.512114,0.000000,0.725695,0.277072,0.387900,0,4.271450,3.414220,3.414213,3.000000
25.652000,3,0,3,-1.152350,3.148207,2.998870,-0.497315,0.499697,0.000000,0.704996,0.266620,0.373268,0,4.271450,-1.414208,3.414214,3.000000
25.752000,3,0,0,-1.166757,-1.179042,3.001149,-0.327803,-0.321867,0.000000,0.459405,0.243840,0.341376,0,4.337588,-1.414208,-1.414213,3.000000
25.752000,3,0,1,3.178486,-1.162631,3.003939,0.324771,-0.332603,0.000000,0.464867,0.246262,0.344767,0,4.337588,3.414220,-1.414214,3.000000
25.752000,3,0,2,3.170940,3.174950,2.999529,0.331359,0.328786,0.000000,0.466796,0.243729,0.341221,0,4.337588,3.414220,3.414213,3.000000
25.752000,3,0,3,-1.184210,3.180336,2.999082,-0.318609,0.321285,0.000000,0.452478,0.234300,0.328020,0,4.337588,-1.414208,3.414214,3.000000
25.852000,3,0,0,-1.211443,-1.222825,3.001872,-0.446863,-0.437834,0.000000,0.625608,0.199160,0.278824,0,4.427883,-1.414208,-1.414213,3.000000
25.852000,3,0,1,3.222881,-1.208084,3.003397,0.443947,-0.454532,0.000000,0.635365,0.200891,0.281247,0,4.427883,3.414220,-1.414214,3.000000
25.852000,3,0,2,3.216306,3.219794,3.000208,0.453654,0.448440,0.000000,0.637888,0.198166,0.277433,0,4.427883,3.414220,3.414213,3.000000
25.852000,3,0,3,-1.227560,3.224214,2.999408,-0.433491,0.438779,0.000000,0.616799,0.190243,0.266341,0,4.427883,-1.414208,3.414214,3.000000
25.958000,3,0,0,-1.250549,-1.261015,3.002629,-0.368918,-0.360285,0.000000,0.515660,0.160124,0.224174,0,4.506967,-1.414208,-1.414213,3.000000
25.958000,3,0,1,3.261845,-1.247966,3.002786,0.367585,-0.376242,0.000000,0.526001,0.161081,0.225514,0,4.506967,3.414220,-1.414214,3.000000
25.958000,3,0,2,3.256231,3.258997,3.000906,0.376655,0.369838,0.000000,0.527872,0.158199,0.221478,0,4.506967,3.414220,3.414213,3.000000
25.958000,3,0,3,-1.265327,3.262702,2.999794,-0.356301,0.363098,0.000000,0.508715,0.151726,0.212417,0,4.506967,-1.414208,3.414214,3.000000
