stamp,phase,self_id,target_id,uwb_dt,camera_dt,com_dt,rel_gt_x,rel_gt_y,rel_gt_z,rel_pred_x,rel_pred_y,rel_pred_z,uwb_meas,uwb_pred,uwb_residual,alpha_meas,alpha_pred,alpha_residual,theta_meas,theta_pred,theta_residual,xy_residual_x,xy_residual_y,cost_uwb,cost_angle,cost_xy,cost_ins,cam_target_valid,angle_constraint_valid,xy_constraint_valid
15.075407408,post,3,0,-0.017407408,-0.003407408,-0.000962963,-0.006838049,-1.977729354,-0.035059155,-0.124187666,-1.991168181,-0.003178292,2.022206068,1.995039700,0.027166368,nan,nan,nan,nan,nan,nan,nan,nan,0.295204620,nan,nan,0.004094457,0,0,0
15.075407408,post,3,1,-0.017407408,-0.003407408,0.001259259,2.018888522,-1.976665310,0.038748062,1.882946520,-2.044544514,-0.060527599,2.852895737,2.780164286,0.072731450,nan,nan,nan,nan,nan,nan,nan,nan,2.115945548,nan,nan,0.004094457,0,0,0
15.075407408,post,3,2,-0.017407408,-0.003407408,-0.000296297,2.007477568,0.017322765,0.059975629,2.012733462,-0.054008554,-0.039204078,1.989097595,2.013839585,-0.024741990,-0.003081036,-0.026826998,0.023745963,0.025388515,-0.019468559,0.044857074,-0.024286334,0.047882058,0.244866422,2.160181577,1.016610652,0.004094457,1,1,1
15.377333333,pre,3,0,-0.001333333,-0.205333333,-0.009333333,-0.007443785,-1.976367059,-0.033869628,-0.087218794,-1.986857454,-0.113205803,1.983831763,1.991990264,-0.008158501,nan,nan,nan,nan,nan,nan,nan,nan,0.026624456,nan,nan,0.000000000,0,0,0
15.377333333,pre,3,1,-0.001333333,-0.205333333,0.012666667,2.016539248,-1.971621785,0.030579448,1.891866132,-2.019880904,-0.079631820,2.808121681,2.768649049,0.039472632,nan,nan,nan,nan,nan,nan,nan,nan,0.623235474,nan,nan,0.000000000,0,0,0
15.377333333,pre,3,2,-0.001333333,-0.205333333,-0.003333333,2.003788686,0.019867203,0.051979359,1.954323875,-0.030313812,-0.040174229,1.974517465,1.954971791,0.019545674,0.008226334,-0.015509907,0.023736241,0.023521988,-0.020551221,0.044073209,0.019580589,0.046552176,0.152813345,2.111029680,0.902231431,0.000000000,1,1,1
15.377333333,post,3,0,-0.001333333,-0.205333333,-0.009333333,-0.007443785,-1.976367059,-0.033869628,-0.056026169,-1.964219047,-0.113205803,1.983831763,1.968276137,0.015555627,nan,nan,nan,nan,nan,nan,nan,nan,0.096791008,nan,nan,0.023767637,0,0,0
15.377333333,post,3,1,-0.001333333,-0.205333333,0.012666667,2.016539248,-1.971621785,0.030579448,1.923058757,-1.997242498,-0.079631820,2.808121681,2.773711197,0.034410484,nan,nan,nan,nan,nan,nan,nan,nan,0.473632570,nan,nan,0.023767637,0,0,0
15.377333333,post,3,2,-0.001333333,-0.205333333,-0.003333333,2.003788686,0.019867203,0.051979359,1.985516499,-0.007675405,-0.040174229,1.974517465,1.985937726,-0.011420261,0.008226334,-0.003865678,0.012092012,0.023521988,-0.020230730,0.043752717,-0.011612035,0.023913769,0.052168944,1.529606033,0.251543001,0.023767637,1,1,1
15.372222222,pre,3,0,0.003777778,-0.098222222,0.003111111,-0.007443785,-1.976367059,-0.033869628,-0.061004025,-1.968483465,0.011404546,1.983831763,1.969461527,0.014370236,nan,nan,nan,nan,nan,nan,nan,nan,0.082601475,nan,nan,0.000000000,0,0,0
15.372222222,pre,3,1,0.003777778,-0.098222222,-0.004222222,2.016539248,-1.971621785,0.030579448,1.957030873,-2.037015627,-0.059436369,2.808121681,2.825408853,-0.017287171,nan,nan,nan,nan,nan,nan,nan,nan,0.119538518,nan,nan,0.000000000,0,0,0
15.372222222,pre,3,2,0.003777778,-0.098222222,0.001111111,2.003788686,0.019867203,0.051979359,2.028839151,-0.006934772,-0.032029237,1.974517465,2.029103808,-0.054586344,0.009719473,-0.003418085,0.013137558,0.021829357,-0.015785574,0.037614931,-0.054885359,0.026121167,1.191867563,1.217445567,1.440031126,0.000000000,1,1,1
15.372222222,post,3,0,0.003777778,-0.098222222,0.003111111,-0.007443785,-1.976367059,-0.033869628,-0.108194556,-1.961904346,0.011404546,1.983831763,1.964918520,0.018913244,nan,nan,nan,nan,nan,nan,nan,nan,0.143084313,nan,nan,0.036323697,0,0,0
15.372222222,post,3,1,0.003777778,-0.098222222,-0.004222222,2.016539248,-1.971621785,0.030579448,1.909840342,-2.030436508,-0.059436369,2.808121681,2.788134722,0.019986959,nan,nan,nan,nan,nan,nan,nan,nan,0.159791419,nan,nan,0.036323697,0,0,0
